Date,HUR1,HUR2,HUR3,HUR4,MTB1,MTB2,MTB3,MTB4,WAP1,WAP2,WAP3,WAP4,STV1,STV2,STV3,STV4,SNO1,SNO2,SNO3,SNO4,LVN1,LVN2,LVN3,LVN4,MIS1,MIS2,MIS3,MIS4,CMT1,CMT2,CMT3,CMT4,PAR1,PAR2,PAR3,PAR4,WHP1,WHP2,WHP3,WHP4,TML1,TML2,TML3,TML4,MHM1,MHM2,MHM3,MHM4
12/20/2019,0.63,0.01,0.17,0.18,1.22,0.30,1.00,1.30,0.22,0.20,0.25,0.45,0.18,0.00,0.10,0.10,0.15,0.11,0.12,0.23,nan,,,0.00,0.07,0.01,0.15,0.16,0.74,0.01,0.36,0.37,0.70,0.13,0.24,0.37,0.46,0.00,0.04,0.04,0.04,0.00,0.02,0.02,0.03,0.00,0.03,0.03
12/21/2019,1.15,1.20,0.35,1.55,2.48,2.23,0.48,2.71,0.65,0.39,0.29,0.68,0.90,0.14,0.41,0.55,0.75,0.52,0.50,1.02,nan,,,0.00,0.10,0.27,0.21,0.48,0.73,1.38,0.27,1.65,0.77,0.46,0.42,0.88,0.87,0.46,0.37,0.83,0.86,0.80,1.21,2.01,0.76,0.70,1.11,1.81
12/22/2019,0.04,0.13,0.11,0.24,0.10,0.00,0.29,0.29,0.01,0.00,0.02,0.02,0.04,0.00,0.06,0.06,0.00,0.02,0.02,0.04,nan,,,0.00,0.01,0.00,0.01,0.01,,0.04,0.00,0.04,0.03,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.08,0.00,0.00,0.00
12/23/2019,0.64,0.00,0.58,0.58,1.19,0.55,1.57,2.12,0.18,0.02,0.48,0.50,0.19,0.01,0.58,0.59,0.68,0.00,0.80,0.80,nan,,,0.00,0.20,0.00,0.47,0.47,,0.00,0.96,0.96,0.58,0.00,1.15,1.15,nan,0.00,0.56,0.56,0.87,0.00,1.21,1.21,0.72,0.00,1.25,1.25
12/24/2019,1.08,0.04,0.01,0.05,0.72,0.13,0.02,0.15,0.17,0.67,0.02,0.69,0.50,0.86,0.48,1.34,1.06,1.17,0.34,1.51,nan,,,0.00,0.03,0.14,0.04,0.18,,0.72,0.14,0.86,1.32,2.22,0.95,3.17,nan,0.91,0.56,1.47,2.90,1.16,0.87,2.03,2.19,1.16,0.87,2.03
12/25/2019,0.00,0.04,0.03,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.03,0.00,0.00,0.00,nan,0.00,0.00,0.00,0.22,0.00,0.03,0.03,0.06,0.01,0.03,0.04
12/26/2019,0.00,0.00,0.02,0.02,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,nan,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.56,0.61,0.13,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01
12/27/2019,0.16,0.32,0.00,0.32,0.23,0.76,0.21,0.97,0.10,0.23,0.07,0.30,0.26,0.36,0.29,0.65,0.47,0.45,0.71,1.16,nan,,,0.00,0.03,0.11,0.03,0.14,0.38,0.29,0.15,0.44,1.44,0.78,0.38,1.16,0.05,0.34,0.19,0.53,1.43,0.85,1.02,1.87,0.92,0.83,0.77,1.60
12/28/2019,0.11,0.00,0.02,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.02,0.00,0.02,nan,,,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.00,0.05,0.05,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.33,0.01,0.00,0.01,0.11,0.00,0.00,0.00
12/29/2019,0.38,0.31,0.18,0.49,0.73,0.43,0.36,0.79,0.12,0.21,0.21,0.42,0.60,0.44,0.97,1.41,1.72,0.56,1.97,2.53,nan,,,0.00,0.00,0.12,0.10,0.22,0.36,0.26,0.46,0.72,1.24,0.75,1.86,2.61,0.34,0.23,0.95,1.18,0.34,0.18,1.01,1.19,0.25,0.14,0.95,1.09
