Date,HUR-OBS,HUR-FCST,MTB-OBS,MTB-FCST,WAP-OBS,WAP-FCST,STV-OBS,STV-FCST,SNO-OBS,SNO-FCST,LVN-OBS,LVN-FCST,MIS-OBS,MIS-FCST,CMT-OBS,CMT-FCST,PAR-OBS,PAR-FCST,WHP-OBS,WHP-FCST,TML-OBS,TML-FCST,MHM-OBS,MHM-FCST
1/11/2019,0.10,0.02,0.62,0.77,0.04,0.19,0.13,0.30,0.41,0.07,nan,0.00,0.00,0.00,0.00,0.03,0.17,0.04,0.02,0.15,0.03,0.00,0.01,0.01
1/12/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/13/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/14/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/15/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/16/2019,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,nan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/17/2019,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.10,0.00,nan,0.00,0.19,0.01,0.06,0.00,0.08,0.01,0.05,0.00,0.67,0.03,0.57,0.01
1/18/2019,0.62,0.14,1.29,2.09,0.22,0.62,0.55,0.80,1.08,0.89,nan,0.00,0.42,0.39,0.29,0.85,0.44,1.62,0.26,0.55,0.36,1.40,0.29,1.33
1/19/2019,0.74,0.53,1.30,1.97,0.47,0.67,0.94,0.49,1.09,0.90,0.58,nan,0.53,0.87,0.59,0.84,1.65,1.19,1.17,0.64,3.29,2.11,2.69,2.32
1/20/2019,0.32,0.06,0.41,0.15,0.37,0.26,0.32,0.23,0.82,0.25,0.03,0.01,0.15,0.00,0.00,0.03,0.08,0.09,0.30,0.11,0.52,0.19,0.42,0.21
1/21/2019,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.04,0.12,0.10,0.04,0.31,0.26,0.29,0.25,0.44,0.29,0.35,0.35
1/22/2019,0.00,0.01,0.02,0.03,0.02,0.00,0.00,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/23/2019,0.43,0.31,1.20,1.68,0.65,1.55,1.85,2.49,2.86,2.14,0.51,0.77,0.30,0.85,0.54,0.63,2.67,2.80,0.86,1.19,2.02,1.50,1.61,1.57
1/24/2019,0.08,0.01,0.10,0.14,0.16,0.14,0.66,0.35,0.78,0.37,0.07,0.01,0.06,0.13,0.33,0.00,1.73,0.75,0.59,0.30,0.53,0.72,0.37,0.75
1/25/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/26/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
